case_id,Gerichtstyp,Dieselmotor_Typ,Art_Abschalteinrichtung,KBA_Rueckruf,Fahrzeugstatus,Fahrzeugmodell_Baureihe,Update_Status,Kilometerstand_Kauf,Kilometerstand_Klageerhebung,Erwartete_Gesamtlaufleistung,Kaufdatum,Uebergabedatum,Datum_Klageerhebung,Beklagten_Typ,Datum_Urteil,Kaufpreis,Nacherfuellungsverlangen_Fristsetzung,Klageziel,Rechtsgrundlage,LABEL_Anspruch_Schadensersatz,LABEL_Schadensersatzhoehe_Betrag,LABEL_Schadensersatzhoehe_Range,Nachweis_Aufklaerung
2144801,,F EU5,Umschaltlogik,,Neuwagen,W U,,,,,2013-02-16,2013-06-14,,Händler,,33820.0,Nein,Rückabwicklung,"§§ 346, 437, 280, 281 BGB",True,33819.99,Abgewiesen,
2144818,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,W,,,,,2011-02-23,,,Hersteller,,22949.0,Entbehrlich,Rückabwicklung,§ 826 BGB,True,13928.86,10000-15000,
2144847,,$$...#,Umschaltlogik,True,Gebrauchtwagen,"T Typ #$ Modell C #,# $$$",False,,,,2014-12-11,,,Hersteller,,9990.0,,Rückabwicklung,§ 823 Abs.2 BGB i.V.m. VO (EG) Nr.715/2007; § 823 Abs.2 BGB i.V.m. EG-FGV,False,,Abgewiesen,
2144851,Landgericht,EA 189,Prüfstanderkennungssoftware,True,Gebrauchtwagen,PKW T,False,32000.0,64752.0,217852.0,2015-03-24,2015-04-01,2016-11-02,Händler,,24887.14,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 348 i.V.m. § 437 Nr. 2, § 440 Satz 1 Var. 3, 323 Abs. 1 BGB",True,21148.14,20000-25000,
2144855,,EA-189,Softwarevorrichtung,True,Neuwagen,Audi TT Coup 2.0 TDI quattro,,,,,2012-08-01,2012-10-13,,Händler,,42140.61,Ja,Rückabwicklung,"§§ 437 Nr. 2, 346 Abs. 1, 323 BGB",False,,Abgewiesen,
2144863,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW W TDI,False,34092.0,,,2015-09-07,,,Händler,,34690.0,Entbehrlich,Rückabwicklung,"§§ 437 Nr. 2, 440 Satz 1 Var. 3, 323 Abs. 1, 346 Abs. 1, 348 BGB",True,28902.43,> 25000,
2144867,,2.0 Liter EU5,Umschaltlogik,True,Neuwagen,VW U T 2.0I TDI,False,,,,2013-07-11,,2016-08-05,Händler,,37340.0,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 348, 434 Abs. 1, 437 Nr. 2 Alt. 1, 323 Abs. 1, 2 Nr. 3 BGB, § 25 Abs. 1 Satz 1 HGB",True,30305.29,> 25000,
2144884,,EA 189,Umschaltlogik,,Gebrauchtwagen,Skoda Superb Combi Exklusiv,,13313.0,,,2014-07-21,,,Hersteller,,22675.0,Entbehrlich,Rückabwicklung,"§§ 826, 31 BGB",True,20815.63,20000-25000,False
2144904,,EA 189,Motorsteuergeräte-Software (Prüfstanderkennung),True,Neuwagen,VW Tiguan,,0.0,,400000.0,,,2017-08-30,Hersteller,,25000.0,Ja,Rückabwicklung,"§§ 826, 31 BGB",True,11236.3,10000-15000,
2144924,,$$...#,Umschaltlogik,True,Neuwagen,W F,False,,,,2013-05-15,2013-05-15,,Hersteller,,28980.01,Ja,Rückabwicklung,"§ 823 Abs. 2 BGB i.V.m. VO (EG) Nr. 715/2007, § 823 Abs. 2 BGB i.V.m. EG-FGV",False,,Abgewiesen,
2144938,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,Typ A,False,0.0,50555.0,,2014-08-08,2015-03-06,2017-03-17,Händler,,39929.0,Ja,Rückabwicklung,"§§ 346 Abs. 1, 348 i.V.m. § 437 Nr. 2, § 440 Satz 1 Var. 3, 323 Abs. 1 BGB",True,31854.56,> 25000,
2145885,,EA 189,Umschaltlogik,True,Neuwagen,"Audi Q3 SUV 2,0 TDI Quattro",False,10.0,16100.0,,2014-01-02,,,Händler,,44500.0,Nein,Rückabwicklung,"§§ 346 Abs. 1, 348 BGB i.V.m. §§ 437 Nr. 2, 440, 323 BGB",False,,Abgewiesen,
2146117,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Golf 1.6 TDI,False,24303.0,,,2011-06-24,,,Hersteller,,16390.0,Entbehrlich,Schadensersatz,§ 823 Abs. 2 BGB i.V.m. § 263 StGB,True,,,
2146367,,EA189,Umschaltlogik,True,Gebrauchtwagen,VW Polo,False,,,,2015-06-05,,,Hersteller,,10990.0,Entbehrlich,Minderung,"§ 441 BGB, § 826 BGB",True,2747.5,< 5000,
2146494,,,,,Gebrauchtwagen,Seat Exeo ST Sport,False,9620.0,,,2012-02-17,,2016-07-11,Hersteller,,24500.0,Entbehrlich,Rückabwicklung,§ 826 BGB,False,,Sonstige,
2146496,,EA189 Eu5,Umschaltlogik,True,Gebrauchtwagen,Audi A4 2.0 TDI,,42929.0,96793.0,300000.0,,,,Hersteller,,21500.0,Ja,Rückabwicklung,§ 826 BGB,True,16995.11,15000-20000,
2146622,Landgericht,EA 189,Prüfstandserkennung,True,Gebrauchtwagen,VW Golf,False,,,,2013-05-31,,,Händler,,17850.0,Nein,Rückabwicklung,"§ 812 Abs.1 Satz 1 BGB, § 142 BGB, § 123 BGB, §§ 346 Abs.1, 349, 433, 434, 437 Nr.2 BGB",False,,Abgewiesen,
2146641,,"2,0 TDI Motor",Umschaltlogik,,Neuwagen,B 2.0 TDI,,,,,2014-01-03,,2015-10-15,Händler,,60606.0,Entbehrlich,Rückabwicklung,§ 123 BGB,False,,Abgewiesen,
2147179,,,,,,,,,,,,,,,,,,,"§§ 1004 Abs. 1 S. 2, 823 Abs. 1 BGB i.V.m. Artt. 2 Abs. 1, 1 Abs. 1 GG",False,,Sonstige,
2147194,,,,,,,,,,,,,,,,,,,"§§ 1004 Abs. 1 S. 2, 823 Abs. 1 BGB, Artt. 2 Abs. 1, 1 Abs. 1 GG",False,,Sonstige,
2147199,,,,,,,,,,,,,,,,,,,"§§ 1004 Abs. 1 S. 2, 823 Abs. 1 BGB, Artt. 2 Abs. 1, 1 Abs. 1 GG",False,,Sonstige,
2147991,Landgericht,EA 189,Umschaltlogik,,Neuwagen,VW Tiguan,,,,,2013-10-09,,,Händler,,31475.0,Ja,Rückabwicklung,"§ 439 Abs. 1 BGB, § 434 BGB",False,,Abgewiesen,
2147996,Landgericht,,,True,Neuwagen,"Audi A1 Ambition 1,6 TDI",,,,,2010-09-24,2011-02-18,,Händler,,21617.93,Nein,Rückabwicklung,"§ 437 Nr. 2 BGB i.V.m. §§ 440, 323 ff. BGB",True,,Abgewiesen,
2148013,Landgericht,C,Umschaltlogik,True,Gebrauchtwagen,V,,6423.0,,,2014-04-14,,,Hersteller,,22600.0,Ja,Rückabwicklung,§ 826 BGB,True,13799.4,10000-15000,
2148043,,EA 189,Umschaltlogik,True,Gebrauchtwagen,T,False,19215.0,89000.0,230785.0,2014-02-06,,2017-06-13,Hersteller,,12890.0,Ja,Schadensersatz,"§ 826 BGB, § 831 BGB",True,12037.11,10000-15000,
2148052,,EA 189,Umschaltlogik,True,Neuwagen,VW Tiguan 2.0 TDI,True,,,,2007-10-19,2008-02-12,,Hersteller,,35500.0,Entbehrlich,Schadensersatz,"§ 826 BGB, § 831 BGB",True,9737.43,5000-10000,
2148054,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Passat 2.0l TDI,False,26400.0,,250000.0,2015-01-15,,,Händler,,21900.0,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 348, 437 Nr. 2, 323 Abs. 1 BGB",True,19067.99,15000-20000,
2148055,,EA 189,unzulässige Abschalteinrichtung,,Neuwagen,"VW Tiguan Track & Field 2,0 I TDI",,,,,2007-09-18,,,Hersteller,,38985.0,Entbehrlich,Rückabwicklung,§ 826 BGB,False,,Abgewiesen,
2148105,,EA 189,Umschaltlogik,True,Neuwagen,W 2.0 TDI Diesel,False,,,,,2014-02-07,,Händler,,39000.0,Ja,Rückabwicklung,"§ 346 Abs. 1 BGB i. V .m. den §§ 437 Nr. 2, 323 Abs. 1, 320, 322, 348 BGB",False,,Abgewiesen,
2148110,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Golf VI,False,54208.0,,250000.0,2014-04-15,,,Hersteller,,13500.0,Ja,Schadensersatz,§ 826 BGB,True,,,
2148674,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Passat CC,True,61495.0,129549.0,300000.0,2014-01-23,,,Hersteller,,19380.0,Entbehrlich,Rückabwicklung,"§ 826 BGB, § 31 BGB",True,17250.69,15000-20000,
2148676,Landgericht,EA189,Umschaltlogik,,Gebrauchtwagen,Y,,11600.0,,250000.0,2015-05-16,,,Händler,,29800.0,Ja,Schadensersatz,§ 826 BGB,False,,Abgewiesen,
2148968,,3.0 l V-6 TDI,"Warmlauf-Modus, AdBlue-Dosierungsstrategie",True,Neuwagen,"VW Touareg Edition V6 3,0 TDI",,,,,2015-07-22,,2018-08-11,Hersteller,,66640.0,Entbehrlich,Rückabwicklung,§ 826 BGB,True,66640.0,> 25000,
2149477,,,Umschaltlogik,True,Gebrauchtwagen,W1 Q1,False,29990.0,,,2015-08-21,,,Händler,,22740.0,Nein,Rückabwicklung,"§§ 437 Nr. 2, 434, 440, 323 BGB",False,,Abgewiesen,
2149488,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Touran 2.0 TDI,False,29362.0,,,2014-03-12,2014-03-25,,Händler,,29890.0,Nein,Rückabwicklung,"§ 437 Nr. 2, 323 Abs. 1 BGB",False,,Abgewiesen,
2149513,,EA 189,Umschaltlogik,True,Neuwagen,"Skoda Yeti 2,0 TDI Green Tec",,0.0,,,2012-07-09,,,Hersteller,,26000.0,Entbehrlich,Rückabwicklung,§ 826 BGB,True,18552.78,15000-20000,
2149532,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Golf Variant Match 1.6 TDI,False,19990.0,,,2014-06-05,,,Händler,,17900.0,Ja,Rückabwicklung,§ 437 BGB,True,14670.22,10000-15000,
2149542,,EA 189,Umschaltlogik,True,Gebrauchtwagen,"VW Polo 1,2 TDI",,108206.0,,,2016-09-24,,,Hersteller,,7440.0,Entbehrlich,Rückabwicklung,"§ 823 Abs. 1 BGB, § 823 Abs. 2 BGB i.V.m § 5 der Fahrzeugemissionen-VO, § 823 Abs. 2 BGB i.V.m. §§ 6 Abs. 1, 27 Abs. 1 EG-FGV",False,,Abgewiesen,
2149577,,,,False,Neuwagen,VW Tiguan 2.0 TDI,False,,,,2014-01-02,2016-02-07,,"Händler, Hersteller",,32000.0,Nein,Rückabwicklung,"§ 123 BGB, § 437 BGB, § 826 BGB",False,,Sonstige,
2149618,,EA 189,Umschaltlogik,True,Gebrauchtwagen,W2 2.0 TDI,False,88200.0,,,2014-05-20,,,Händler,,17939.0,Ja,Rückabwicklung,"§ 346 Abs. 1 BGB i.V.m. §§ 437 Nr. 2, 440, 323 BGB",True,16519.85,15000-20000,
2151170,,EA 189,Umschaltlogik,True,Neuwagen,W,True,,,300000.0,,,,Händler,,28930.01,Ja,Rückabwicklung,"§§ 434 Abs. 1, 437 Nr. 2, 323 Abs. 1, 346 Abs. 1 BGB",True,25024.07,> 25000,
2151176,,EA 189,Umschaltlogik,True,Gebrauchtwagen,B,False,72851.0,,,2015-04-08,2015-04-22,2017-04-13,Händler,,19830.0,Entbehrlich,Rückabwicklung,"§§ 434, 437 Nr. 2, 440, 323, 346 Abs. 1 BGB",True,15419.28,15000-20000,
2151187,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Golf VI GTD 2.0 TDI,True,10990.0,81570.0,,2013-03-21,2013-03-21,2017-06-13,Hersteller,,21409.0,Ja,Rückabwicklung,§ 826 BGB i.V.m. § 31 BGB,True,15086.89,15000-20000,
2151224,,EA 185,Umschaltlogik,True,Neuwagen,VW Tiguan 2.0 TDI,False,,,,2013-02-01,2013-05-01,,Hersteller,,48914.0,Ja,,"§§ 437, 439 Abs. 1, 2. Alt. BGB",False,,Abgewiesen,
2151239,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,Audi Q3 2.0 TDI,True,,,,2014-04-16,2014-07-15,,Hersteller,,45595.0,Ja,Rückabwicklung,"§§ 437 Nr. 2, 434, 433, 323 Abs. 1, 2, 326 Abs. 5, 346 BGB",False,,Abgewiesen,
2151241,,EA 189,Umschaltlogik,True,Gebrauchtwagen,"Audi A4 Avant 2,0 TDI",True,62449.0,,,2015-06-17,,2017-09-06,Hersteller,,22700.0,Entbehrlich,Rückabwicklung,§ 826 BGB,True,18554.47,15000-20000,
2151248,,EA189 EU5,Prüfstanderkennungssoftware,True,Neuwagen,Skoda Yeti TDI 2.0 L,False,,,,2015-01-26,2015-03-30,2016-09-06,Händler,,27580.0,Ja,Rückabwicklung,"§§ 437, 434, 433, 323, 346, 348 BGB",True,24491.04,20000-25000,
2151262,,EA 189,Umschaltlogik,True,Gebrauchtwagen,"Skoda Superb 2,0 l TDI",,,,,2014-12-30,2015-01-07,,Händler,,20250.0,Nein,Rückabwicklung,"§§ 437 Nr. 2, 434, 433, 323, 346 Abs. 1, 348 BGB",True,18143.53,15000-20000,
2151275,,EA 189,Prüfstandsoptimierungssoftware,,Neuwagen,Audi Q3 2.0 TDI quattro,,,,,2014-12-04,,,Hersteller,,47600.0,Entbehrlich,Schadensersatz,"§ 826 BGB, § 823 Abs. 2 BGB i.V.m. § 263 StGB, § 823 Abs. 2 BGB i.V.m. § 27 EG-FGV",False,,Abgewiesen,
2151295,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,VW Tiguan 2.0 TDI,False,,20800.0,,2014-05-16,,2016-01-20,Händler,,31129.95,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 437 Nr. 2, 440, 323, 434 Abs. 1 S. 2 Nr. 2 BGB",True,26646.99,> 25000,
2151296,,4-Zylinder TDI-Motor,unzulässige Abschaltsoftware,,Neuwagen,VW Polo,,,,,2011-03-12,2011-07-22,,Hersteller,,18778.19,Ja,,"§§ 437 Nr. 1, 439 Abs. 1 Var. 2 BGB",False,,Sonstige,
2152335,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtfahrzeug,VW Passat Variant 2.0 TDI,False,28430.0,57017.0,,2015-04-29,,,Händler,,34900.0,Entbehrlich,Rückabwicklung,"§§ 346 Abs.1, 348 iVm § 437 Nr. 2, 440 S.1, 323 Abs. 1, 2 Nr. 3 BGB",True,29450.16,> 25000,
2152371,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,VW Tiguan 2.0 TDI,False,0.0,94281.0,,2013-07-17,,,Hersteller,,36300.0,Ja,Schadensersatz,§ 826 BGB,True,22610.4,20000-25000,
2152397,,EA 189,,True,Neuwagen,T. A. 2.0 TDI,,,,,2013-12-19,2014-04-01,,Hersteller,,32471.59,Ja,Schadensersatz,§ 826 BGB,False,,Abgewiesen,
2153710,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,VW Tiguan 2.0 TDI,,,,,2012-07-11,,2016-04-21,Hersteller,,38902.0,Entbehrlich,Rückabwicklung,§ 826 BGB,True,30574.02,> 25000,
2153729,Landgericht,Baureihe ...,Motorsteuerungssoftware,True,Gebrauchtwagen,W,False,6897.0,35000.0,,2013-11-11,2013-11-15,2016-01-26,Händler,,24290.0,Entbehrlich,Rückabwicklung,"§§ 437 Nr. 2, 323, 346 BGB",True,24290.0,20000-25000,
2153736,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,"Skoda, Typ je die 1.6 TDG-DSG",,,,,2015-12-03,,,Hersteller,2018-02-27,21400.0,,Rückabwicklung,"§ 823 Abs. 2 BGB i.V.m. § 263 StGB, § 826 BGB",False,,Abgewiesen,
2153756,Landgericht,EA 189,Umschaltlogik,False,Neuwagen,Skoda Superb,False,,60000.0,500000.0,,2013-09-23,,Händler,,32527.39,Entbehrlich,Rückabwicklung,"§ 437 BGB, § 323 BGB",True,24994.7,20000-25000,
